ふりがな,名前,アイドルタイプ,年齢,誕生日,星座,血液型,身長,体重,バスト,ウエスト,ヒップ,利き手,出身地,趣味,声優,登録日
さとうしん,佐藤心,パッションアイドル,26歳,'7月22日',蟹座,AB型,166cm,ダイエットちゅう,ぼんっ,きゅっ,ぼんっ♪,右,長野,ドレスアップ・衣装作り,花守ゆみり,'2016年8月10日'
さわだまりな,沢田麻理菜,パッションアイドル,26歳,'5月6日',牡牛座,B型,166cm,47kg,87cm,57cm,87cm,右,長野,サーフィン,-,'2016年9月9日'
しゅとうあおい,首藤葵,パッションアイドル,13歳,'8月18日',獅子座,O型,145cm,39kg,73cm,53cm,75cm,右,大分,魚さばき,-,'2016年3月9日'
じょうがさきみか,城ヶ崎美嘉,パッションアイドル,17歳,'11月12日',蠍座,AB型,162cm,43kg,80cm,56cm,82cm,左,埼玉,カラオケ,佳村はるか,'2015年9月3日'
じょうがさきりか,城ヶ崎莉嘉,パッションアイドル,12歳,'7月30日',獅子座,B型,149cm,36kg,72cm,54cm,75cm,左,埼玉,シール集め,山本希望,'2015年9月3日'
すぎさかうみ,杉坂海,パッションアイドル,18歳,'7月20日',蟹座,B型,162cm,45kg,88cm,58cm,86cm,右,山口,ウィンドサーフィン,-,'2016年5月9日'
せんざきえま,仙崎恵磨,パッションアイドル,21歳,'6月27日',蟹座,O型,156cm,45kg,81cm,55cm,81cm,左,大阪,革小物集め,-,'2015年9月3日'
そうまなつみ,相馬夏美,パッションアイドル,25歳,'7月23日',獅子座,A型,160cm,46kg,83cm,60cm,89cm,右,京都,ランニング,-,'2016年8月9日'
たかもりあいこ,高森藍子,パッションアイドル,16歳,'7月25日',獅子座,O型,155cm,42kg,74cm,60cm,79cm,右,東京,近所の公園をお散歩,金子有希,'2015年9月3日'
つちやあこ,土屋亜子,パッションアイドル,15歳,'5月2日',牡牛座,B型,156cm,42kg,85cm,54cm,83cm,右,静岡,貯金、食べること,-,'2016年2月29日'
とときあいり,十時愛梨,パッションアイドル,18歳,'12月8日',射手座,O型,161cm,46kg,86cm,58cm,88cm,右,秋田,ケーキ作り,原田ひとみ,'2015年9月3日'
なたーりあ,ナターリア,パッションアイドル,14歳,'6月29日',蟹座,A型,155cm,43kg,84cm,55cm,86cm,右,リオ・デ・ジャネイロ,ベリーダンス,生田輝,'2015年9月3日'
なみきめいこ,並木芽衣子,パッションアイドル,22歳,'10月14日',天秤座,AB型,160cm,44kg,80cm,57cm,82cm,右,和歌山,旅行,-,'2016年4月11日'
なんじょうひかる,南条光,パッションアイドル,14歳,'9月13日',乙女座,B型,140cm,41kg,79cm,58cm,80cm,右,徳島,特撮番組鑑賞、特撮ごっこ,神谷早矢佳,'2016年7月19日'
なんばえみ,難波笑美,パッションアイドル,17歳,'5月1日',牡牛座,O型,158cm,45kg,82cm,56cm,80cm,右,大阪,お笑いライブ巡り、モノマネ,伊達朱里紗,'2016年1月12日'
にしじまかい,西島櫂,パッションアイドル,19歳,'8月17日',獅子座,O型,172cm,49kg,86cm,59cm,83cm,右,大阪,水族館巡り,-,'2016年6月23日'
ののむらそら,野々村そら,パッションアイドル,15歳,'1月3日',山羊座,B型,157cm,46kg,84cm,57cm,85cm,右,福岡,友達と電話,-,'2016年9月17日'
はまかわあゆな,浜川愛結奈,パッションアイドル,22歳,'5月25日',双子座,B型,168cm,50kg,92cm,58cm,85cm,右,大阪,乗馬,-,'2016年10月9日'
はまぐちあやめ,浜口あやめ,パッションアイドル,15歳,'1月13日',山羊座,A型,154cm,42kg,78cm,55cm,80cm,左,三重,時代劇鑑賞、忍者グッズ収集、撮影所巡り,田澤茉純,'2015年9月30日'
ひさかわなぎ,久川凪,パッションアイドル,14歳,'6月16日',双子座,B型,150cm,40kg,76cm,56cm,80cm,右,徳島,写真・ポエム・読書（新書）,立花日菜,'2019年4月2日'
ひのあかね,日野茜,パッションアイドル,17歳,'8月4日',獅子座,AB型,148cm,40kg,80cm,60cm,82cm,右,栃木,ラグビー観戦,赤﨑千夏,'2015年9月3日'
ひめかわゆき,姫川友紀,パッションアイドル,20歳,'9月14日',乙女座,A型,161cm,44kg,80cm,57cm,80cm,右,宮崎,野球観戦,杜野まこ,'2015年9月3日'
ほししょうこ,星輝子,パッションアイドル,15歳,'6月6日',双子座,B型,142cm,35kg,73cm,53cm,75cm,左,福島,キノコ栽培,松田颯水,'2015年9月3日'
ほりゆうこ,堀裕子,パッションアイドル,16歳,'3月13日',魚座,O型,157cm,44kg,81cm,58cm,80cm,右,福井,サイキックトレーニング,鈴木絵理,'2015年9月3日'
ほんだみお,本田未央,パッションアイドル,15歳,'12月1日',射手座,B型,161cm,46kg,84cm,58cm,87cm,右,千葉,ショッピング,原紗友里,'2015年9月3日'
まきはらしほ,槙原志保,パッションアイドル,19歳,'4月27日',牡牛座,B型,162cm,46kg,86cm,57cm,91cm,右,三重,スイーツめぐり,-,'2016年5月31日'
まつやまくみこ,松山久美子,パッションアイドル,21歳,'1月21日',水瓶座,A型,161cm,44kg,81cm,56cm,81cm,右,神奈川,ピアノ,-,'2015年10月6日'
まとばりさ,的場梨沙,パッションアイドル,12歳,'11月19日',蠍座,B型,143cm,38kg,71cm,58cm,73cm,右,山口,ダンス、パパとデート,集貝はな,'2016年2月8日'
まなべいつき,真鍋いつき,パッションアイドル,22歳,'12月29日',山羊座,O型,165cm,46kg,85cm,57cm,83cm,右,石川,とにかく運動,-,'2016年12月9日'
みよしさな,三好紗南,パッションアイドル,14歳,'6月25日',蟹座,B型,149cm,39kg,75cm,56cm,80cm,右,香川,TVゲーム・夜更かし,-,'2016年2月16日'
むかいたくみ,向井拓海,パッションアイドル,18歳,'8月7日',獅子座,A型,163cm,53kg,95cm,60cm,87cm,右,神奈川,バイクいじり,原優子,'2015年11月20日'
むらかみともえ,村上巴,パッションアイドル,13歳,'1月3日',山羊座,A型,146cm,37kg,74cm,53cm,76cm,右,広島,演歌、将棋,花井美春,'2015年12月30日'
めありーこくらん,メアリー・コクラン,パッションアイドル,11歳,'1月19日',山羊座,B型,152cm,41kg,71cm,59cm,73cm,左,サンフランシスコ,女磨き・グルメツアー,-,'2015年10月31日'
もろぼしきらり,諸星きらり,パッションアイドル,17歳,'9月1日',乙女座,O型,182cm,60kg,91cm,64cm,86cm,右,東京,かわいいもの集め,松嵜麗,'2015年9月3日'
やぐちみう,矢口美羽,パッションアイドル,14歳,'7月10日',蟹座,B型,150cm,41kg,81cm,56cm,80cm,右,千葉,メール,-,'2015年11月9日'
ゆめみりあむ,夢見りあむ,パッションアイドル,19歳,'9月12日',乙女座,AB型,149cm,リンゴたくさん,でっかい,ふつう,たぶんふつう,右,やさしい世界,夜中の意味深ポエム、現場参戦,星希成奏,'2019年4月15日'
よりたよしの,依田芳乃,パッションアイドル,16歳,'7月3日',蟹座,O型,151cm,40kg,73cm,53cm,73cm,右,鹿児島,悩み事解決、石ころ集め、失せ物探し,高田憂希,'2016年1月9日'
りゅうざきかおる,龍崎薫,パッションアイドル,09歳,'7月20日',蟹座,O型,132cm,32kg,65cm,51cm,70cm,右,愛媛,料理,春瀬なつみ,'2015年9月3日'
わかばやしともか,若林智香,パッションアイドル,17歳,'8月30日',乙女座,A型,156cm,45kg,82cm,57cm,83cm,右,鹿児島,チアリーディング,-,'2015年9月3日'
じゅりあ,ジュリア,パッションアイドル,16歳,'9月26日',天秤座,O型,157cm,43kg,79cm,54cm,80cm,左,福岡,なし,愛美,'2021年2月18日'
もがみしずか,最上静香,クールアイドル,14歳,'9月14日',乙女座,A型,162cm,44kg,76cm,53cm,77cm,右,埼玉,テニス,田所あずさ,'2021年2月18日'
ほしまちすいせい,星街すいせい,クールアイドル,18歳,'3月22日',牡羊座,A型,160cm,43kg,70cm,55cm,75cm,右,バーチャル,いろいろ!!!!,星街すいせい,'2024年3月11日'
